food_category,Armenia,Georgia,Iran,Turkey,
Beef,19.66,6.04,3.58,11.64,
Eggs,11.69,6.12,7.7,8.2,
Fish,4.36,10.42,9.8,5.58,
Lamb & Goat,3.02,0.63,3.69,4.68,
Milk - inc. cheese,209.03,149.26,46.69,193.94,
Nuts inc. Peanut Butter,2.55,2.47,12.16,7.97,
Pork,9.67,8.93,0,0.01,
Poultry,13.35,12.28,25.38,18.78,
Rice,3.18,2.64,29.95,10.74,
Soybeans,0,0,0,1.71,
Wheat and Wheat Products,130.6,163.43,153.31,169.96,
,,,,,
MAIN STATEMENTS BASED ON THE ANALYSIS,,,,,
,,,,,
"The  presented bar chart illustrates the dietary consumption patterns across diverse countries in the designated region. By using the combined consumption of a specific food item as a reference point, the visual representation elucidates the relative contribution of each individual country to the overall consumption of that particular food. With such bar chart we can provide valuable information on regional variations in food choices and preferences.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Dairy Dominance: Milk, including cheese, stands out as a significant contributor to dietary patterns in Armenia and Georgia, with substantially higher consumption compared to Iran and Turkey. Armenia leads in this category, with 209.03 kilograms per capita per year.",,,,,
,,,,,
,,,,,
"Divergent Meat Consumption: Beef consumption is relatively high in Armenia, while Georgia shows a preference for fish. Iran demonstrates a balanced consumption of various meat types, and Turkey has a more evenly distributed meat consumption profile.",,,,,
,,,,,
,,,,,
"Wheat-Centric Diets: Wheat and wheat products are major components of the diet in all countries, with particularly high consumption in Georgia, Iran, and Turkey.",,,,,
,,,,,
"Poultry Preference: Poultry consumption is notable across all four countries, with Iran having the highest consumption at 25.38 grams per capita. Turkey and Armenia also show substantial poultry consumption.",,,,,
,,,,,
,,,,,
"Low Pork Consumption: Pork consumption is relatively low across the board, with Iran reporting negligible levels. This reflects cultural and dietary preferences within the region.",,,,,
,,,,,
"Varied Nut Consumption: Nuts, including peanut butter, exhibit diverse consumption patterns. Iran leads in this category, while Armenia and Georgia show moderate consumption levels.",,,,,
,,,,,
"Soybean Consumption: Soybean consumption is minimal across the board, except for a small presence in Turkey.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
